id,X,Y,NN
1,30.0735026,-1.9547667,152
2,30.0737621,-1.9526616,147
3,30.0660823,-1.9474215,150
4,30.0606855,-1.9520159,145
5,30.0598357,-1.9512745,151
6,30.0815469,-1.9522126,149
7,30.0823262,-1.9515873,143
8,29.7518498,-2.5869688,176
9,29.741624,-2.6010578,167
10,30.0920643,-1.946264,148
11,29.7421504,-2.6012009,183
12,30.0610733,-1.9465801,162
13,30.0654579,-1.955897,146
14,29.9050645,-2.0038087,166
15,29.9854314,-1.9676959,146
16,30.0200045,-1.9493215,154
17,30.0218688,-1.9489959,148
18,30.0463259,-1.939204,141
19,30.0445123,-1.9394847,143
20,30.0429794,-1.9411903,148
21,30.0682894,-1.9599921,142
22,30.060917,-1.946789,154
23,30.0680373,-1.9530975,146
24,30.0754333,-1.9534668,132
25,30.0628391,-1.9469864,152
26,30.062918,-1.9509535,164
27,30.0577885,-1.9454237,139
28,30.092569,-1.9474012,151
29,30.1034365,-1.9458,142
30,30.2246168,-1.9803924,151
31,30.1171229,-1.9596291,142
32,30.5059478,-1.9016229,158
33,30.1867746,-1.9847135,125
34,30.1688326,-1.9689973,130
35,30.241949,-1.9526316,141
36,30.4432388,-1.9487431,160
37,30.4336545,-1.9515085,153
38,30.0613674,-1.9529883,153
39,30.7035299,-1.8786152,148
40,30.5586335,-2.0083604,165
41,30.5074712,-1.9016267,160
42,30.1044117,-1.9814931,142
43,30.0697529,-2.1124133,147
44,30.067842,-2.1131122,148
45,30.0678951,-2.1125194,149
46,30.0528662,-2.0916321,138
47,30.0644921,-2.1102255,149
48,30.0787791,-2.1382677,152
49,30.0819629,-2.1390079,140
50,30.090036,-2.1429427,141
51,30.0896454,-2.1423365,138
52,30.0910423,-2.1448728,138
53,30.0899863,-2.1474223,138
54,30.091311,-2.1471536,148
55,30.0923483,-2.1466225,151
56,30.09676,-2.1545148,142
57,30.0870791,-2.141539,155
58,30.090922,-2.1432376,137
59,29.9035523,-2.1116741,147
60,29.7516342,-2.0831397,179
61,29.3496193,-2.0891901,174
62,29.3379545,-2.0689842,145
63,29.350793,-2.0697167,150
64,29.3526135,-2.0705608,143
65,29.3525466,-2.0706263,147
66,29.3527501,-2.0705901,158
67,29.3510896,-2.070101,142
68,29.3517043,-2.0709012,161
69,29.3376825,-2.0594039,143
70,29.3381056,-2.0593592,149
71,29.3322433,-2.0592656,141
72,29.3256384,-2.0559744,141
73,29.350277,-2.0478487,148
74,29.7415993,-2.6246026,176
75,29.7403334,-2.6030608,182
76,29.7347379,-2.6112819,167
77,29.7419764,-2.6015177,177
78,29.7424136,-2.5950613,170
79,29.252128,-1.6974105,156
80,29.2500687,-1.6973729,142
81,29.2487257,-1.6974564,155
82,29.2466058,-1.6974355,150
83,29.2515366,-1.695522,139
84,29.2567498,-1.6966095,145
85,29.26151,-1.6961412,153
86,29.262537,-1.693619,148
87,29.2684553,-1.699794,150
88,30.0042427,-1.9619267,141
89,30.0466171,-1.9789267,161
90,30.0638134,-1.9566827,161
91,29.747161,-2.6033339,165
92,30.0866455,-1.9690837,140
93,30.0795682,-1.9628823,138
94,30.081481,-1.9622917,148
95,30.0805112,-1.965418,147
96,30.0826474,-1.9676823,143
97,30.074831,-1.948586,140
98,30.0747509,-1.9477138,147
99,30.0652136,-1.9438322,156
100,30.064861,-1.943472,146
101,30.0644508,-1.9437497,146
102,30.0722089,-1.943855,146
103,30.111595,-1.9155473,142
104,30.1451056,-1.9565223,132
105,30.0599043,-1.9460621,142
106,30.0611777,-1.945455,152
107,30.0596034,-1.9447887,156
108,30.0606404,-1.9430963,143
109,30.060411,-1.9427185,148
110,30.0604225,-1.9428959,151
111,30.0594722,-1.9430634,160
112,30.0592577,-1.9432216,155
113,30.0557696,-1.9456774,146
114,30.0574064,-1.9528484,145
115,30.0592578,-1.9485917,147
116,30.0586478,-1.9487551,153
117,30.062501,-1.951466,159
118,30.0571581,-1.9521082,157
119,29.4136049,-2.0519499,174
120,29.7393582,-2.3602205,188
121,29.7351908,-2.6113329,182
122,29.7407358,-2.6035493,167
123,29.2683348,-1.6997492,168
124,29.3241401,-2.0767838,143
125,29.318864,-2.0661067,145
126,29.3196663,-2.0668123,138
127,29.7428808,-2.6067135,166
128,29.7408179,-2.5981039,170
129,29.2621092,-1.7064076,141
130,29.3538944,-2.0668287,149
131,29.264889,-1.7071778,146
132,29.7380351,-2.6114845,174
133,29.7396974,-2.6037236,165
134,29.7397936,-2.60483,163
135,29.7422681,-2.6196612,161
136,29.5979775,-1.4326891,237
137,29.3269878,-2.0754043,160
138,29.7417792,-2.5996935,170
139,29.7378854,-2.605124,165
140,29.6296583,-1.4982153,186
141,29.7417296,-2.6029015,167
142,29.3413733,-1.6983165,192
143,29.6419443,-1.5111271,183
144,29.6464997,-1.5098708,189
145,30.1094576,-1.9571198,149
146,29.7426209,-2.5991107,179
147,30.0431581,-1.9408318,144
148,30.0437693,-1.9385599,131
149,30.0401562,-1.9794787,178
150,30.0402019,-1.9795484,177
151,30.0405933,-1.9789955,182
152,30.0405227,-1.9790662,170
153,30.0600806,-1.9471565,153
154,30.0615017,-1.9455336,147
155,30.0817494,-1.938938,152
156,30.1128279,-1.9779614,149
157,30.0996353,-1.9895901,148
158,30.1118974,-1.9856038,136
159,30.1030255,-1.9845361,150
160,30.1135577,-1.974616,139
161,30.106565,-1.9736966,157
162,30.106584,-1.9789586,139
163,30.1006025,-1.9876921,148
164,30.0873127,-1.9123687,137
165,30.0871395,-1.9130329,143
166,30.0870284,-1.9124487,141
167,30.0867231,-1.9119255,139
168,30.0870711,-1.9129694,145
169,30.1185891,-1.9578159,151
170,30.0941224,-1.9576084,140
171,30.1122842,-1.9309238,149
172,30.0918426,-1.9474718,148
173,30.1220119,-1.9522648,152
174,29.4998137,-1.4687592,308
175,28.8801715,-2.4944115,149
176,30.0517073,-1.9756446,152
177,28.8450556,-2.5100556,159
178,28.8761613,-2.4994859,157
179,28.8571111,-2.5257778,165
180,28.8478889,-2.5116111,158
181,28.8458611,-2.5183889,168
182,28.8561667,-2.5193611,153
183,28.8588333,-2.5210833,157
184,28.8553333,-2.5170556,151
185,28.8482222,-2.5117222,159
186,28.8490278,-2.5189722,179
187,28.8436389,-2.5163333,177
188,28.8572778,-2.5274167,161
189,28.8875833,-2.4987222,161
190,28.8829081,-2.4917543,144
191,28.8636742,-2.5055988,162
192,28.8594144,-2.505238,147
193,28.9444167,-2.3675361,149
194,28.925,-2.3548056,156
195,29.0227583,-2.2793472,153
196,29.0268222,-2.2621861,156
197,28.928075,-2.3637778,143
198,28.9280806,-2.3637972,147
199,29.0263472,-2.2617778,160
200,29.0442778,-2.2680528,152
201,29.0209222,-2.269225,151
202,28.9327778,-2.3623889,147
203,29.0202722,-2.2688056,152
204,29.0606583,-2.2642694,163
205,28.9378056,-2.3549167,144
206,30.0155175,-1.8834753,195
207,30.0154476,-1.8830116,195
208,29.3748403,-2.1480923,226
209,30.01711,-1.8856759,185
210,30.0652083,-1.9411967,137
211,30.103453,-1.96958,142
212,30.1062773,-1.9734616,137
213,30.1037403,-1.9713055,149
214,30.078642,-1.9480118,137
215,30.0800812,-1.9495265,148
216,28.8966208,-2.5894382,162
217,29.0027723,-2.3892458,158
218,29.5289173,-2.3340237,194
219,29.528319,-2.4808932,204
220,29.0373952,-2.5272389,142
221,28.952936,-2.6277961,155
222,29.5241452,-1.4612325,259
223,28.9527123,-2.5734886,179
224,28.9523043,-2.5639018,174
225,30.5467055,-2.1685079,153
226,30.6176061,-1.9629908,134
227,29.9349884,-2.4419463,142
228,29.7834322,-2.6488225,175
229,29.6272484,-1.935733,172
230,29.6238993,-1.9384824,172
231,30.7866476,-2.2902808,130
232,30.7601597,-2.188611,180
233,30.6081269,-2.1684418,145
234,29.7494832,-2.3513307,172
235,29.7642421,-2.3623413,184
236,28.9867259,-2.445115,182
237,28.9156687,-2.484209,163
238,29.9406799,-2.1095478,143
239,29.9285695,-2.2095603,154
240,29.8786566,-2.3423819,161
241,30.5032166,-2.2764492,140
242,30.3814566,-2.2069216,141
243,30.5998346,-1.9788842,144
244,30.4914769,-1.8979635,154
245,30.4974159,-1.8470448,148
246,30.2163987,-1.6348165,167
247,30.2450454,-1.5481245,153
248,30.3848027,-1.7655685,157
249,29.5243494,-2.1552833,170
250,29.3196253,-1.6520509,182
251,28.9905698,-2.409049,160
252,29.7343793,-2.1605078,179
253,29.3962465,-1.9724969,219
254,29.6080951,-2.7475896,180
